"bbref_id","age2021","PA1","PA2","PA3","PA4","bats","Team2021","POS_2021","wOPS_2020","wOPS_2019","wOPS_2018","wOPS_2017","wwRCplus_2020","wwRCplus_2019","wwRCplus_2018","wwRCplus_2017","LAVG","RAVG","avg_ops","reliability","D_regressed_ops","age_adjustment","park_factor","avg_wRCplus","wRC_reliability","D_regressed_wRCplus","BETTER_THAN_MARCEL_OPS","MARCEL_OPS"
"abreujo02",33,262,693,553,675,"R","CHW","1B",0.987,0.834,0.798,0.906,164,115,114,139,97,101,0.88875,0.556868537666174,0.813971565731167,-0.012,101,135.166666666667,0.556868537666174,119.58321024126,0.83642474922452,0.804203906942393
"adriaeh01",30,101,236,366,186,"B","ATL","OF",0.557,0.765,0.68,0.707,60,102,83,85,99,104,0.657083333333333,0.369416710457173,0.69675753196707,-0.003,100.4,79.75,0.369416710457173,92.5193116132423,0.68528440261298,0.694667259371168
"aguilje01",30,216,369,566,311,"R","MIA","1B",0.809,0.713138211382114,0.89,0.837,119,88.6693766937669,135,114,93,96,0.797296070460705,0.489578902594641,0.75784252535103,-0.003,96,112.889792231256,0.489578902594641,106.310570335251,0.749544839102239,0.755568997712805
"ahmedni01",30,217,625,564,178,"R","ARI","SS",0.729,0.753,0.7,0.717,96,91,85,76,100,100,0.72975,0.539524174980814,0.725260360706063,-0.003,100,91.5833333333333,0.539524174980814,95.4590048605781,0.716545546623177,0.723084579623945
"albieoz01",23,124,702,684,244,"B","ATL","2B",0.773,0.852,0.757,0.81,103,116,100,110,99,104,0.795333333333333,0.55719557195572,0.761975399753998,0.036,100.4,106.583333333333,0.55719557195572,103.668204182042,0.796267541195572,0.789406514145142
"alfarjo01",27,100,465,377,114,"R","MIA","C",0.624,0.736,0.731,0.874,69,95,95,126,93,96,0.688083333333333,0.439775910364146,0.705963818860878,0.012,96,84.1666666666667,0.439775910364146,93.0368814192344,0.690119786237162,0.714435384687208
"altuvjo01",30,210,548,599,662,"R","HOU","2B",0.629,0.903,0.837,0.957,74,137,135,160,94,100,0.772333333333333,0.53070003910833,0.747773302046669,-0.003,100,110.25,0.53070003910833,105.43967540086,0.753363114717768,0.745529982140529
"anderti01",27,221,518,606,606,"R","CHW","SS",0.886,0.865,0.687,0.679,140,128,85,79,97,101,0.82925,0.528487229862475,0.777737229862475,0.012,101,122.25,0.528487229862475,111.75884086444,0.807938157848723,0.787070076620825
"andruel01",31,111,648,428,689,"R","OAK","SS",0.582,0.707,0.675,0.808,57,76,76,105,92,97,0.646916666666667,0.497276916631755,0.683657345342829,-0.006,97,68.0833333333333,0.497276916631755,84.1285784108365,0.646507223163315,0.679555401270772
"arciaor01",25,189,546,366,548,"R","MIL","OF",0.734,0.633,0.576,0.731,97,61,55,86,102,97,0.660833333333333,0.478487614080834,0.691689482833551,0.024,97,74.5,0.478487614080834,87.7985658409387,0.680095614776184,0.708290030421556
